Activity type,Duration,From,To,Comment
None,02:23,2018-11-20 13:29,2018-11-20 15:52,
Move,00:21,2018-11-20 13:07,2018-11-20 13:29,
AEP 4210,01:54,2018-11-20 11:13,2018-11-20 13:07,
Move,00:07,2018-11-20 11:05,2018-11-20 11:13,
AEP 4210,01:25,2018-11-20 09:40,2018-11-20 11:05,
Move,00:12,2018-11-20 09:27,2018-11-20 09:40,
Eat,00:14,2018-11-20 09:12,2018-11-20 09:27,
Upkeep,00:54,2018-11-20 08:18,2018-11-20 09:12,
Sleep,07:38,2018-11-20 00:40,2018-11-20 08:18,
None,00:27,2018-11-20 00:12,2018-11-20 00:40,
Fun,01:59,2018-11-19 22:13,2018-11-20 00:12,
None,00:40,2018-11-19 21:32,2018-11-19 22:13,
Upkeep,00:17,2018-11-19 21:15,2018-11-19 21:32,
Recreate,01:10,2018-11-19 20:04,2018-11-19 21:15,
Experiment,01:12,2018-11-19 18:51,2018-11-19 20:03,
None,00:32,2018-11-19 18:18,2018-11-19 18:51,
Eat,00:28,2018-11-19 17:50,2018-11-19 18:18,
None,00:16,2018-11-19 17:33,2018-11-19 17:50,
None,00:08,2018-11-19 17:25,2018-11-19 17:33,
Move,00:13,2018-11-19 17:11,2018-11-19 17:25,
None,00:06,2018-11-19 17:05,2018-11-19 17:11,
AEP 4210,00:49,2018-11-19 16:15,2018-11-19 17:05,
Move,00:13,2018-11-19 16:02,2018-11-19 16:15,
AEP 4210,01:29,2018-11-19 14:32,2018-11-19 16:02,
Move,00:13,2018-11-19 14:19,2018-11-19 14:32,
ASIAN 3352,00:54,2018-11-19 13:25,2018-11-19 14:19,
AEP 4210,03:46,2018-11-19 09:38,2018-11-19 13:25,
Move,00:17,2018-11-19 09:20,2018-11-19 09:38,
Eat,00:33,2018-11-19 08:47,2018-11-19 09:20,
Upkeep,00:35,2018-11-19 08:12,2018-11-19 08:47,
Sleep,06:48,2018-11-19 01:23,2018-11-19 08:12,
None,00:36,2018-11-19 00:47,2018-11-19 01:23,
AEP 4210,01:00,2018-11-18 23:47,2018-11-19 00:47,
None,01:03,2018-11-18 22:44,2018-11-18 23:47,
AguaClara,00:09,2018-11-18 22:34,2018-11-18 22:44,
Organize,00:39,2018-11-18 21:55,2018-11-18 22:34,
AEP 4210,02:04,2018-11-18 19:51,2018-11-18 21:55,
AEP 4210,00:51,2018-11-18 19:00,2018-11-18 19:51,
Eat,00:46,2018-11-18 18:13,2018-11-18 19:00,
AEP 4210,00:43,2018-11-18 17:30,2018-11-18 18:13,
Upkeep,00:16,2018-11-18 17:13,2018-11-18 17:30,
AEP 4210,00:26,2018-11-18 16:47,2018-11-18 17:13,
None,01:43,2018-11-18 15:04,2018-11-18 16:47,
Move,00:06,2018-11-18 14:57,2018-11-18 15:04,
Move,00:07,2018-11-18 14:50,2018-11-18 14:57,
Upkeep,00:20,2018-11-18 14:30,2018-11-18 14:50,
Move,00:13,2018-11-18 14:16,2018-11-18 14:30,
None,00:19,2018-11-18 13:56,2018-11-18 14:15,
Sleep,02:16,2018-11-18 11:40,2018-11-18 13:56,
None,00:30,2018-11-18 11:10,2018-11-18 11:40,
Eat,00:45,2018-11-18 10:25,2018-11-18 11:10,
Upkeep,00:11,2018-11-18 10:14,2018-11-18 10:25,
Upkeep,00:19,2018-11-18 09:55,2018-11-18 10:14,
None,00:36,2018-11-18 09:18,2018-11-18 09:55,
Sleep,08:14,2018-11-18 01:03,2018-11-18 09:18,
None,01:11,2018-11-17 23:51,2018-11-18 01:03,
CS 3110,01:46,2018-11-17 22:05,2018-11-17 23:51,
None,00:44,2018-11-17 21:20,2018-11-17 22:05,
Fun,01:38,2018-11-17 19:42,2018-11-17 21:20,
None,00:11,2018-11-17 19:31,2018-11-17 19:42,
Eat,00:21,2018-11-17 19:10,2018-11-17 19:31,
None,00:39,2018-11-17 18:30,2018-11-17 19:10,
CS 3110,01:17,2018-11-17 17:13,2018-11-17 18:30,
None,00:13,2018-11-17 16:59,2018-11-17 17:13,
Move,00:12,2018-11-17 16:47,2018-11-17 16:59,
AguaClara,02:40,2018-11-17 14:06,2018-11-17 16:46,
Move,00:14,2018-11-17 13:51,2018-11-17 14:06,
None,00:56,2018-11-17 12:54,2018-11-17 13:51,
Move,00:07,2018-11-17 12:46,2018-11-17 12:54,
Build,00:44,2018-11-17 12:01,2018-11-17 12:46,
Move,00:13,2018-11-17 11:48,2018-11-17 12:01,
None,00:17,2018-11-17 11:30,2018-11-17 11:47,
None,00:15,2018-11-17 11:15,2018-11-17 11:30,
Eat,00:33,2018-11-17 10:41,2018-11-17 11:15,
Upkeep,00:31,2018-11-17 10:09,2018-11-17 10:41,
None,00:18,2018-11-17 09:51,2018-11-17 10:09,
Sleep,07:06,2018-11-17 02:44,2018-11-17 09:51,
None,01:07,2018-11-17 01:37,2018-11-17 02:44,
Fun,02:25,2018-11-16 23:11,2018-11-17 01:37,
CS 3110,00:59,2018-11-16 22:12,2018-11-16 23:11,
CS 3110,00:12,2018-11-16 22:00,2018-11-16 22:12,
None,01:55,2018-11-16 20:04,2018-11-16 22:00,
CS 3110,00:18,2018-11-16 19:45,2018-11-16 20:04,
Eat,00:45,2018-11-16 19:00,2018-11-16 19:45,
CS 3110,01:45,2018-11-16 17:14,2018-11-16 19:00,
None,00:05,2018-11-16 17:08,2018-11-16 17:14,
None,00:23,2018-11-16 16:45,2018-11-16 17:08,
Move,00:09,2018-11-16 16:35,2018-11-16 16:45,
AguaClara,00:55,2018-11-16 15:40,2018-11-16 16:35,
Move,00:10,2018-11-16 15:30,2018-11-16 15:40,
Recreate,00:57,2018-11-16 14:32,2018-11-16 15:30,
Move,00:12,2018-11-16 14:19,2018-11-16 14:32,
ASIAN 3352,00:49,2018-11-16 13:30,2018-11-16 14:19,
